DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.121589	12	1	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.121625	12	1	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.121821	12	1	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.121857	12	1	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.122089	12	2	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.122143	12	2	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.122321	12	2	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.122375	12	2	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.122589	12	2	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.122643	12	2	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.122821	12	2	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.122857	12	2	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.123089	12	3	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.123125	12	3	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.123321	12	3	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.123357	12	3	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.123589	12	3	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.123643	12	3	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.123821	12	3	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.123875	12	3	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.124089	12	4	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.124143	12	4	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.124321	12	4	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.124375	12	4	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.124589	12	4	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.124643	12	4	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.124821	12	4	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.124857	12	4	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.125089	12	5	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.125125	12	5	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.125321	12	5	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.125357	12	5	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.125589	12	5	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.125643	12	5	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.125821	12	5	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.125875	12	5	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.126089	12	6	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.126143	12	6	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.126321	12	6	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.126357	12	6	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.126589	12	6	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.126625	12	6	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.126821	12	6	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.126857	12	6	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.127089	12	7	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.127143	12	7	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.127321	12	7	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.127375	12	7	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.127589	12	7	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.127643	12	7	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.127821	12	7	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.127875	12	7	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.128089	12	8	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.128143	12	8	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.128321	12	8	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.128357	12	8	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.128589	12	8	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.128625	12	8	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.128821	12	8	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.128857	12	8	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.129089	12	9	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.129143	12	9	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.129321	12	9	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.129375	12	9	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.129589	12	9	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.129643	12	9	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.129821	12	9	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.129857	12	9	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.130089	13	0	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.130125	13	0	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.130321	13	0	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.130357	13	0	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.130589	13	0	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.130643	13	0	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.130821	13	0	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.130875	13	0	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.131089	13	1	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.131143	13	1	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.131321	13	1	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.131375	13	1	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.131589	13	1	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.131643	13	1	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.131821	13	1	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.131857	13	1	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.132089	13	2	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.132125	13	2	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.132321	13	2	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.132357	13	2	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.132589	13	2	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.132643	13	2	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.132821	13	2	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.132875	13	2	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.133089	13	3	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.133143	13	3	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.133321	13	3	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.133357	13	3	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.133589	13	3	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.133625	13	3	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.133821	13	3	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.133857	13	3	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.134089	13	4	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.134143	13	4	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.134321	13	4	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.134375	13	4	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.134589	13	4	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.134643	13	4	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.134821	13	4	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.134875	13	4	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.135089	13	5	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.135143	13	5	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.135321	13	5	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.135357	13	5	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.135589	13	5	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.135625	13	5	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.135821	13	5	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.135857	13	5	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.136089	13	6	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.136143	13	6	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.136321	13	6	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.136375	13	6	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
